Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group)
Age 65 or older,8.4,Age 25-44,25.0
Age 65 or older,8.4,Age 45-64,17.9
Age 18-24,23.4,Age 25-44,28.1
Age 18-24,23.4,Age 45-64,28.3
Age 18-24,23.4,Age 65 or older,10.8
Age 25-44,28.1,Age 18-24,23.4
Age 25-44,28.1,Age 45-64,28.3
Age 25-44,28.1,Age 65 or older,10.8
Age 45-64,28.3,Age 18-24,23.4
Age 45-64,28.3,Age 25-44,28.1
Age 45-64,28.3,Age 65 or older,10.8
Age 65 or older,10.8,Age 18-24,23.4
Age 65 or older,10.8,Age 25-44,28.1
Age 65 or older,10.8,Age 45-64,28.3
Age 18-24,15.2,Age 25-44,18.4
Age 18-24,15.2,Age 45-64,16.7
Age 18-24,15.2,Age 65 or older,8.7
Age 25-44,18.4,Age 18-24,15.2
Age 25-44,18.4,Age 45-64,16.7
Age 25-44,18.4,Age 65 or older,8.7
Age 45-64,16.7,Age 18-24,15.2
Age 45-64,16.7,Age 25-44,18.4
Age 45-64,16.7,Age 65 or older,8.7
Age 65 or older,8.7,Age 18-24,15.2
Age 65 or older,8.7,Age 25-44,18.4
Age 65 or older,8.7,Age 45-64,16.7
Age 18-24,8.8,Age 25-44,12.1
Age 18-24,8.8,Age 45-64,11.8
Age 18-24,8.8,Age 65 or older,4.2
Age 25-44,12.1,Age 18-24,8.8
Age 25-44,12.1,Age 45-64,11.8
Age 25-44,12.1,Age 65 or older,4.2
Age 45-64,11.8,Age 18-24,8.8
Age 45-64,11.8,Age 25-44,12.1
Age 45-64,11.8,Age 65 or older,4.2
Age 65 or older,4.2,Age 18-24,8.8
Age 65 or older,4.2,Age 25-44,12.1
Age 65 or older,4.2,Age 45-64,11.8
Age 18-24,18.8,Age 25-44,22.9
Age 18-24,18.8,Age 45-64,16.1
Age 18-24,18.8,Age 65 or older,7.4
Age 25-44,22.9,Age 18-24,18.8
Age 25-44,22.9,Age 45-64,16.1
Age 25-44,22.9,Age 65 or older,7.4
Age 45-64,16.1,Age 18-24,18.8
Age 45-64,16.1,Age 25-44,22.9
Age 45-64,16.1,Age 65 or older,7.4
Age 65 or older,7.4,Age 18-24,18.8
Age 65 or older,7.4,Age 25-44,22.9
Age 65 or older,7.4,Age 45-64,16.1
Age 18-24,18.7,Age 25-44,21.7
Age 18-24,18.7,Age 45-64,20.9
Age 18-24,18.7,Age 65 or older,10.4
Age 25-44,21.7,Age 18-24,18.7
Age 25-44,21.7,Age 45-64,20.9
Age 25-44,21.7,Age 65 or older,10.4
Age 45-64,20.9,Age 18-24,18.7
Age 45-64,20.9,Age 25-44,21.7
Age 45-64,20.9,Age 65 or older,10.4
Age 65 or older,10.4,Age 18-24,18.7
Age 65 or older,10.4,Age 25-44,21.7
Age 65 or older,10.4,Age 45-64,20.9
Age 18-24,16.9,Age 25-44,19.4
Age 18-24,16.9,Age 45-64,16.9
Age 18-24,16.9,Age 65 or older,7.3
Age 25-44,19.4,Age 18-24,16.9
Age 25-44,19.4,Age 45-64,16.9
Age 25-44,19.4,Age 65 or older,7.3
Age 45-64,16.9,Age 18-24,16.9
Age 45-64,16.9,Age 25-44,19.4
Age 45-64,16.9,Age 65 or older,7.3
Age 65 or older,7.3,Age 18-24,16.9
Age 65 or older,7.3,Age 25-44,19.4
Age 65 or older,7.3,Age 45-64,16.9
Age 18-24,33.5,Age 25-44,35.4
Age 18-24,33.5,Age 45-64,28.2
Age 18-24,33.5,Age 65 or older,11.2
Age 25-44,35.4,Age 18-24,33.5
Age 25-44,35.4,Age 45-64,28.2
Age 25-44,35.4,Age 65 or older,11.2
Age 45-64,28.2,Age 18-24,33.5
Age 45-64,28.2,Age 25-44,35.4
Age 45-64,28.2,Age 65 or older,11.2
Age 65 or older,11.2,Age 18-24,33.5
Age 65 or older,11.2,Age 25-44,35.4
Age 65 or older,11.2,Age 45-64,28.2
Age 18-24,15.9,Age 25-44,25.2
Age 18-24,15.9,Age 45-64,20.6
Age 18-24,15.9,Age 65 or older,6.4
Age 25-44,25.2,Age 18-24,15.9
Age 25-44,25.2,Age 45-64,20.6
Age 25-44,25.2,Age 65 or older,6.4
Age 45-64,20.6,Age 18-24,15.9
Age 45-64,20.6,Age 25-44,25.2
Age 45-64,20.6,Age 65 or older,6.4
Age 65 or older,6.4,Age 18-24,15.9
Age 65 or older,6.4,Age 25-44,25.2
Age 65 or older,6.4,Age 45-64,20.6
Age 18-24,26.8,Age 25-44,24.0
Age 18-24,26.8,Age 45-64,21.0
Age 18-24,26.8,Age 65 or older,9.5
Age 25-44,24.0,Age 18-24,26.8
Age 25-44,24.0,Age 45-64,21.0
Age 25-44,24.0,Age 65 or older,9.5
Age 45-64,21.0,Age 18-24,26.8
Age 45-64,21.0,Age 25-44,24.0
Age 45-64,21.0,Age 65 or older,9.5
Age 65 or older,9.5,Age 18-24,26.8
Age 65 or older,9.5,Age 25-44,24.0
Age 65 or older,9.5,Age 45-64,21.0
Age 18-24,23.5,Age 25-44,25.4
Age 18-24,23.5,Age 45-64,23.0
Age 18-24,23.5,Age 65 or older,9.4
Age 25-44,25.4,Age 18-24,23.5
Age 25-44,25.4,Age 45-64,23.0
Age 25-44,25.4,Age 65 or older,9.4
Age 45-64,23.0,Age 18-24,23.5
Age 45-64,23.0,Age 25-44,25.4
Age 45-64,23.0,Age 65 or older,9.4
Age 65 or older,9.4,Age 18-24,23.5
Age 65 or older,9.4,Age 25-44,25.4
Age 65 or older,9.4,Age 45-64,23.0
Age 18-24,18.9,Age 25-44,22.6
Age 18-24,18.9,Age 45-64,20.8
Age 18-24,18.9,Age 65 or older,10.8
Age 25-44,22.6,Age 18-24,18.9
Age 25-44,22.6,Age 45-64,20.8
Age 25-44,22.6,Age 65 or older,10.8
Age 45-64,20.8,Age 18-24,18.9
Age 45-64,20.8,Age 25-44,22.6
Age 45-64,20.8,Age 65 or older,10.8
Age 65 or older,10.8,Age 18-24,18.9
Age 65 or older,10.8,Age 25-44,22.6
Age 65 or older,10.8,Age 45-64,20.8
Age 18-24,18.2,Age 25-44,19.8
Age 18-24,18.2,Age 45-64,17.0
Age 18-24,18.2,Age 65 or older,9.0
Age 25-44,19.8,Age 18-24,18.2
Age 25-44,19.8,Age 45-64,17.0
Age 25-44,19.8,Age 65 or older,9.0
Age 45-64,17.0,Age 18-24,18.2
Age 45-64,17.0,Age 25-44,19.8
Age 45-64,17.0,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,18.2
Age 65 or older,9.0,Age 25-44,19.8
Age 65 or older,9.0,Age 45-64,17.0
Age 18-24,23.6,Age 25-44,30.7
Age 18-24,23.6,Age 45-64,27.5
Age 18-24,23.6,Age 65 or older,11.5
Age 25-44,30.7,Age 18-24,23.6
Age 25-44,30.7,Age 45-64,27.5
Age 25-44,30.7,Age 65 or older,11.5
Age 45-64,27.5,Age 18-24,23.6
Age 45-64,27.5,Age 25-44,30.7
Age 45-64,27.5,Age 65 or older,11.5
Age 65 or older,11.5,Age 18-24,23.6
Age 65 or older,11.5,Age 25-44,30.7
Age 65 or older,11.5,Age 45-64,27.5
Age 18-24,11.5,Age 25-44,13.9
Age 18-24,11.5,Age 45-64,14.8
Age 18-24,11.5,Age 65 or older,8.0
Age 25-44,13.9,Age 18-24,11.5
Age 25-44,13.9,Age 45-64,14.8
Age 25-44,13.9,Age 65 or older,8.0
Age 45-64,14.8,Age 18-24,11.5
Age 45-64,14.8,Age 25-44,13.9
Age 45-64,14.8,Age 65 or older,8.0
Age 65 or older,8.0,Age 18-24,11.5
Age 65 or older,8.0,Age 25-44,13.9
Age 65 or older,8.0,Age 45-64,14.8
Age 18-24,16.1,Age 25-44,19.6
Age 18-24,16.1,Age 45-64,15.0
Age 18-24,16.1,Age 65 or older,8.3
Age 25-44,19.6,Age 18-24,16.1
Age 25-44,19.6,Age 45-64,15.0
Age 25-44,19.6,Age 65 or older,8.3
Age 45-64,15.0,Age 18-24,16.1
Age 45-64,15.0,Age 25-44,19.6
Age 45-64,15.0,Age 65 or older,8.3
Age 65 or older,8.3,Age 18-24,16.1
Age 65 or older,8.3,Age 25-44,19.6
Age 65 or older,8.3,Age 45-64,15.0
Age 18-24,13.0,Age 25-44,21.1
Age 18-24,13.0,Age 45-64,16.3
Age 18-24,13.0,Age 65 or older,7.0
Age 25-44,21.1,Age 18-24,13.0
Age 25-44,21.1,Age 45-64,16.3
Age 25-44,21.1,Age 65 or older,7.0
Age 45-64,16.3,Age 18-24,13.0
Age 45-64,16.3,Age 25-44,21.1
Age 45-64,16.3,Age 65 or older,7.0
Age 65 or older,7.0,Age 18-24,13.0
Age 65 or older,7.0,Age 25-44,21.1
Age 65 or older,7.0,Age 45-64,16.3
Age 18-24,24.8,Age 25-44,23.9
Age 18-24,24.8,Age 45-64,20.1
Age 18-24,24.8,Age 65 or older,10.5
Age 25-44,23.9,Age 18-24,24.8
Age 25-44,23.9,Age 45-64,20.1
Age 25-44,23.9,Age 65 or older,10.5
Age 45-64,20.1,Age 18-24,24.8
Age 45-64,20.1,Age 25-44,23.9
Age 45-64,20.1,Age 65 or older,10.5
Age 65 or older,10.5,Age 18-24,24.8
Age 65 or older,10.5,Age 25-44,23.9
Age 65 or older,10.5,Age 45-64,20.1
Age 18-24,No Data,Age 25-44,15.2
Age 18-24,No Data,Age 45-64,23.8
Age 18-24,No Data,Age 65 or older,9.0
Age 25-44,15.2,Age 18-24,No Data
Age 25-44,15.2,Age 45-64,23.8
Age 25-44,15.2,Age 65 or older,9.0
Age 45-64,23.8,Age 18-24,No Data
Age 45-64,23.8,Age 25-44,15.2
Age 45-64,23.8,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,No Data
Age 65 or older,9.0,Age 25-44,15.2
Age 65 or older,9.0,Age 45-64,23.8
Age 18-24,16.9,Age 25-44,22.8
Age 18-24,16.9,Age 45-64,20.6
Age 18-24,16.9,Age 65 or older,7.4
Age 25-44,22.8,Age 18-24,16.9
Age 25-44,22.8,Age 45-64,20.6
Age 25-44,22.8,Age 65 or older,7.4
Age 45-64,20.6,Age 18-24,16.9
Age 45-64,20.6,Age 25-44,22.8
Age 45-64,20.6,Age 65 or older,7.4
Age 65 or older,7.4,Age 18-24,16.9
Age 65 or older,7.4,Age 25-44,22.8
Age 65 or older,7.4,Age 45-64,20.6
Age 18-24,16.4,Age 25-44,20.8
Age 18-24,16.4,Age 45-64,18.7
Age 18-24,16.4,Age 65 or older,8.1
Age 25-44,20.8,Age 18-24,16.4
Age 25-44,20.8,Age 45-64,18.7
Age 25-44,20.8,Age 65 or older,8.1
Age 45-64,18.7,Age 18-24,16.4
Age 45-64,18.7,Age 25-44,20.8
Age 45-64,18.7,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,16.4
Age 65 or older,8.1,Age 25-44,20.8
Age 65 or older,8.1,Age 45-64,18.7
Age 18-24,12.8,Age 25-44,18.5
Age 18-24,12.8,Age 45-64,15.2
Age 18-24,12.8,Age 65 or older,6.1
Age 25-44,18.5,Age 18-24,12.8
Age 25-44,18.5,Age 45-64,15.2
Age 25-44,18.5,Age 65 or older,6.1
Age 45-64,15.2,Age 18-24,12.8
Age 45-64,15.2,Age 25-44,18.5
Age 45-64,15.2,Age 65 or older,6.1
Age 65 or older,6.1,Age 18-24,12.8
Age 65 or older,6.1,Age 25-44,18.5
Age 65 or older,6.1,Age 45-64,15.2
Age 18-24,13.8,Age 25-44,21.2
Age 18-24,13.8,Age 45-64,16.0
Age 18-24,13.8,Age 65 or older,8.0
Age 25-44,21.2,Age 18-24,13.8
Age 25-44,21.2,Age 45-64,16.0
Age 25-44,21.2,Age 65 or older,8.0
Age 45-64,16.0,Age 18-24,13.8
Age 45-64,16.0,Age 25-44,21.2
Age 45-64,16.0,Age 65 or older,8.0
Age 65 or older,8.0,Age 18-24,13.8
Age 65 or older,8.0,Age 25-44,21.2
Age 65 or older,8.0,Age 45-64,16.0
Age 18-24,14.1,Age 25-44,18.9
Age 18-24,14.1,Age 45-64,18.2
Age 18-24,14.1,Age 65 or older,10.6
Age 25-44,18.9,Age 18-24,14.1
Age 25-44,18.9,Age 45-64,18.2
Age 25-44,18.9,Age 65 or older,10.6
Age 45-64,18.2,Age 18-24,14.1
Age 45-64,18.2,Age 25-44,18.9
Age 45-64,18.2,Age 65 or older,10.6
Age 65 or older,10.6,Age 18-24,14.1
Age 65 or older,10.6,Age 25-44,18.9
Age 65 or older,10.6,Age 45-64,18.2
Age 18-24,23.7,Age 25-44,28.2
Age 18-24,23.7,Age 45-64,24.9
Age 18-24,23.7,Age 65 or older,9.7
Age 25-44,28.2,Age 18-24,23.7
Age 25-44,28.2,Age 45-64,24.9
Age 25-44,28.2,Age 65 or older,9.7
Age 45-64,24.9,Age 18-24,23.7
Age 45-64,24.9,Age 25-44,28.2
Age 45-64,24.9,Age 65 or older,9.7
Age 65 or older,9.7,Age 18-24,23.7
Age 65 or older,9.7,Age 25-44,28.2
Age 65 or older,9.7,Age 45-64,24.9
Age 18-24,17.8,Age 25-44,23.9
Age 18-24,17.8,Age 45-64,19.6
Age 18-24,17.8,Age 65 or older,9.1
Age 25-44,23.9,Age 18-24,17.8
Age 25-44,23.9,Age 45-64,19.6
Age 25-44,23.9,Age 65 or older,9.1
Age 45-64,19.6,Age 18-24,17.8
Age 45-64,19.6,Age 25-44,23.9
Age 45-64,19.6,Age 65 or older,9.1
Age 65 or older,9.1,Age 18-24,17.8
Age 65 or older,9.1,Age 25-44,23.9
Age 65 or older,9.1,Age 45-64,19.6
Age 18-24,18.0,Age 25-44,21.9
Age 18-24,18.0,Age 45-64,19.1
Age 18-24,18.0,Age 65 or older,9.9
Age 25-44,21.9,Age 18-24,18.0
Age 25-44,21.9,Age 45-64,19.1
Age 25-44,21.9,Age 65 or older,9.9
Age 45-64,19.1,Age 18-24,18.0
Age 45-64,19.1,Age 25-44,21.9
Age 45-64,19.1,Age 65 or older,9.9
Age 65 or older,9.9,Age 18-24,18.0
Age 65 or older,9.9,Age 25-44,21.9
Age 65 or older,9.9,Age 45-64,19.1
Age 18-24,24.4,Age 25-44,33.7
Age 18-24,24.4,Age 45-64,27.4
Age 18-24,24.4,Age 65 or older,12.4
Age 25-44,33.7,Age 18-24,24.4
Age 25-44,33.7,Age 45-64,27.4
Age 25-44,33.7,Age 65 or older,12.4
Age 45-64,27.4,Age 18-24,24.4
Age 45-64,27.4,Age 25-44,33.7
Age 45-64,27.4,Age 65 or older,12.4
Age 65 or older,12.4,Age 18-24,24.4
Age 65 or older,12.4,Age 25-44,33.7
Age 65 or older,12.4,Age 45-64,27.4
Age 18-24,17.5,Age 25-44,31.2
Age 18-24,17.5,Age 45-64,25.9
Age 18-24,17.5,Age 65 or older,11.6
Age 25-44,31.2,Age 18-24,17.5
Age 25-44,31.2,Age 45-64,25.9
Age 25-44,31.2,Age 65 or older,11.6
Age 45-64,25.9,Age 18-24,17.5
Age 45-64,25.9,Age 25-44,31.2
Age 45-64,25.9,Age 65 or older,11.6
Age 65 or older,11.6,Age 18-24,17.5
Age 65 or older,11.6,Age 25-44,31.2
Age 65 or older,11.6,Age 45-64,25.9
Age 18-24,23.0,Age 25-44,28.7
Age 18-24,23.0,Age 45-64,19.4
Age 18-24,23.0,Age 65 or older,6.1
Age 25-44,28.7,Age 18-24,23.0
Age 25-44,28.7,Age 45-64,19.4
Age 25-44,28.7,Age 65 or older,6.1
Age 45-64,19.4,Age 18-24,23.0
Age 45-64,19.4,Age 25-44,28.7
Age 45-64,19.4,Age 65 or older,6.1
Age 65 or older,6.1,Age 18-24,23.0
Age 65 or older,6.1,Age 25-44,28.7
Age 65 or older,6.1,Age 45-64,19.4
Age 18-24,10.7,Age 25-44,16.5
Age 18-24,10.7,Age 45-64,17.2
Age 18-24,10.7,Age 65 or older,8.7
Age 25-44,16.5,Age 18-24,10.7
Age 25-44,16.5,Age 45-64,17.2
Age 25-44,16.5,Age 65 or older,8.7
Age 45-64,17.2,Age 18-24,10.7
Age 45-64,17.2,Age 25-44,16.5
Age 45-64,17.2,Age 65 or older,8.7
Age 65 or older,8.7,Age 18-24,10.7
Age 65 or older,8.7,Age 25-44,16.5
Age 65 or older,8.7,Age 45-64,17.2
Age 18-24,11.5,Age 25-44,17.9
Age 18-24,11.5,Age 45-64,16.8
Age 18-24,11.5,Age 65 or older,7.7
Age 25-44,17.9,Age 18-24,11.5
Age 25-44,17.9,Age 45-64,16.8
Age 25-44,17.9,Age 65 or older,7.7
Age 45-64,16.8,Age 18-24,11.5
Age 45-64,16.8,Age 25-44,17.9
Age 45-64,16.8,Age 65 or older,7.7
Age 65 or older,7.7,Age 18-24,11.5
Age 65 or older,7.7,Age 25-44,17.9
Age 65 or older,7.7,Age 45-64,16.8
Age 18-24,21.5,Age 25-44,28.4
Age 18-24,21.5,Age 45-64,21.8
Age 18-24,21.5,Age 65 or older,8.9
Age 25-44,28.4,Age 18-24,21.5
Age 25-44,28.4,Age 45-64,21.8
Age 25-44,28.4,Age 65 or older,8.9
Age 45-64,21.8,Age 18-24,21.5
Age 45-64,21.8,Age 25-44,28.4
Age 45-64,21.8,Age 65 or older,8.9
Age 65 or older,8.9,Age 18-24,21.5
Age 65 or older,8.9,Age 25-44,28.4
Age 65 or older,8.9,Age 45-64,21.8
Age 18-24,16.0,Age 25-44,20.6
Age 18-24,16.0,Age 45-64,16.7
Age 18-24,16.0,Age 65 or older,8.1
Age 25-44,20.6,Age 18-24,16.0
Age 25-44,20.6,Age 45-64,16.7
Age 25-44,20.6,Age 65 or older,8.1
Age 45-64,16.7,Age 18-24,16.0
Age 45-64,16.7,Age 25-44,20.6
Age 45-64,16.7,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,16.0
Age 65 or older,8.1,Age 25-44,20.6
Age 65 or older,8.1,Age 45-64,16.7
Age 18-24,23.1,Age 25-44,29.3
Age 18-24,23.1,Age 45-64,24.0
Age 18-24,23.1,Age 65 or older,10.5
Age 25-44,29.3,Age 18-24,23.1
Age 25-44,29.3,Age 45-64,24.0
Age 25-44,29.3,Age 65 or older,10.5
Age 45-64,24.0,Age 18-24,23.1
Age 45-64,24.0,Age 25-44,29.3
Age 45-64,24.0,Age 65 or older,10.5
Age 65 or older,10.5,Age 18-24,23.1
Age 65 or older,10.5,Age 25-44,29.3
Age 65 or older,10.5,Age 45-64,24.0
Age 18-24,19.4,Age 25-44,25.4
Age 18-24,19.4,Age 45-64,22.4
Age 18-24,19.4,Age 65 or older,10.8
Age 25-44,25.4,Age 18-24,19.4
Age 25-44,25.4,Age 45-64,22.4
Age 25-44,25.4,Age 65 or older,10.8
Age 45-64,22.4,Age 18-24,19.4
Age 45-64,22.4,Age 25-44,25.4
Age 45-64,22.4,Age 65 or older,10.8
Age 65 or older,10.8,Age 18-24,19.4
Age 65 or older,10.8,Age 25-44,25.4
Age 65 or older,10.8,Age 45-64,22.4
Age 18-24,25.8,Age 25-44,25.4
Age 18-24,25.8,Age 45-64,20.2
Age 18-24,25.8,Age 65 or older,8.3
Age 25-44,25.4,Age 18-24,25.8
Age 25-44,25.4,Age 45-64,20.2
Age 25-44,25.4,Age 65 or older,8.3
Age 45-64,20.2,Age 18-24,25.8
Age 45-64,20.2,Age 25-44,25.4
Age 45-64,20.2,Age 65 or older,8.3
Age 65 or older,8.3,Age 18-24,25.8
Age 65 or older,8.3,Age 25-44,25.4
Age 65 or older,8.3,Age 45-64,20.2
Age 18-24,17.9,Age 25-44,21.7
Age 18-24,17.9,Age 45-64,18.1
Age 18-24,17.9,Age 65 or older,8.1
Age 25-44,21.7,Age 18-24,17.9
Age 25-44,21.7,Age 45-64,18.1
Age 25-44,21.7,Age 65 or older,8.1
Age 45-64,18.1,Age 18-24,17.9
Age 45-64,18.1,Age 25-44,21.7
Age 45-64,18.1,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,17.9
Age 65 or older,8.1,Age 25-44,21.7
Age 65 or older,8.1,Age 45-64,18.1
Age 18-24,17.3,Age 25-44,18.6
Age 18-24,17.3,Age 45-64,17.5
Age 18-24,17.3,Age 65 or older,12.6
Age 25-44,18.6,Age 18-24,17.3
Age 25-44,18.6,Age 45-64,17.5
Age 25-44,18.6,Age 65 or older,12.6
Age 45-64,17.5,Age 18-24,17.3
Age 45-64,17.5,Age 25-44,18.6
Age 45-64,17.5,Age 65 or older,12.6
Age 65 or older,12.6,Age 18-24,17.3
Age 65 or older,12.6,Age 25-44,18.6
Age 65 or older,12.6,Age 45-64,17.5
Age 18-24,21.7,Age 25-44,23.9
Age 18-24,21.7,Age 45-64,16.7
Age 18-24,21.7,Age 65 or older,7.4
Age 25-44,23.9,Age 18-24,21.7
Age 25-44,23.9,Age 45-64,16.7
Age 25-44,23.9,Age 65 or older,7.4
Age 45-64,16.7,Age 18-24,21.7
Age 45-64,16.7,Age 25-44,23.9
Age 45-64,16.7,Age 65 or older,7.4
Age 65 or older,7.4,Age 18-24,21.7
Age 65 or older,7.4,Age 25-44,23.9
Age 65 or older,7.4,Age 45-64,16.7
Age 18-24,12.4,Age 25-44,19.3
Age 18-24,12.4,Age 45-64,15.5
Age 18-24,12.4,Age 65 or older,9.0
Age 25-44,19.3,Age 18-24,12.4
Age 25-44,19.3,Age 45-64,15.5
Age 25-44,19.3,Age 65 or older,9.0
Age 45-64,15.5,Age 18-24,12.4
Age 45-64,15.5,Age 25-44,19.3
Age 45-64,15.5,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,12.4
Age 65 or older,9.0,Age 25-44,19.3
Age 65 or older,9.0,Age 45-64,15.5
Age 18-24,17.9,Age 25-44,25.1
Age 18-24,17.9,Age 45-64,19.3
Age 18-24,17.9,Age 65 or older,9.9
Age 25-44,25.1,Age 18-24,17.9
Age 25-44,25.1,Age 45-64,19.3
Age 25-44,25.1,Age 65 or older,9.9
Age 45-64,19.3,Age 18-24,17.9
Age 45-64,19.3,Age 25-44,25.1
Age 45-64,19.3,Age 65 or older,9.9
Age 65 or older,9.9,Age 18-24,17.9
Age 65 or older,9.9,Age 25-44,25.1
Age 65 or older,9.9,Age 45-64,19.3
Age 18-24,14.8,Age 25-44,16.4
Age 18-24,14.8,Age 45-64,16.1
Age 18-24,14.8,Age 65 or older,7.7
Age 25-44,16.4,Age 18-24,14.8
Age 25-44,16.4,Age 45-64,16.1
Age 25-44,16.4,Age 65 or older,7.7
Age 45-64,16.1,Age 18-24,14.8
Age 45-64,16.1,Age 25-44,16.4
Age 45-64,16.1,Age 65 or older,7.7
Age 65 or older,7.7,Age 18-24,14.8
Age 65 or older,7.7,Age 25-44,16.4
Age 65 or older,7.7,Age 45-64,16.1
Age 18-24,16.8,Age 25-44,23.7
Age 18-24,16.8,Age 45-64,20.7
Age 18-24,16.8,Age 65 or older,9.7
Age 25-44,23.7,Age 18-24,16.8
Age 25-44,23.7,Age 45-64,20.7
Age 25-44,23.7,Age 65 or older,9.7
Age 45-64,20.7,Age 18-24,16.8
Age 45-64,20.7,Age 25-44,23.7
Age 45-64,20.7,Age 65 or older,9.7
Age 65 or older,9.7,Age 18-24,16.8
Age 65 or older,9.7,Age 25-44,23.7
Age 65 or older,9.7,Age 45-64,20.7
Age 18-24,20.7,Age 25-44,24.9
Age 18-24,20.7,Age 45-64,20.7
Age 18-24,20.7,Age 65 or older,9.6
Age 25-44,24.9,Age 18-24,20.7
Age 25-44,24.9,Age 45-64,20.7
Age 25-44,24.9,Age 65 or older,9.6
Age 45-64,20.7,Age 18-24,20.7
Age 45-64,20.7,Age 25-44,24.9
Age 45-64,20.7,Age 65 or older,9.6
Age 65 or older,9.6,Age 18-24,20.7
Age 65 or older,9.6,Age 25-44,24.9
Age 65 or older,9.6,Age 45-64,20.7
Age 18-24,19.2,Age 25-44,27.2
Age 18-24,19.2,Age 45-64,22.4
Age 18-24,19.2,Age 65 or older,10.2
Age 25-44,27.2,Age 18-24,19.2
Age 25-44,27.2,Age 45-64,22.4
Age 25-44,27.2,Age 65 or older,10.2
Age 45-64,22.4,Age 18-24,19.2
Age 45-64,22.4,Age 25-44,27.2
Age 45-64,22.4,Age 65 or older,10.2
Age 65 or older,10.2,Age 18-24,19.2
Age 65 or older,10.2,Age 25-44,27.2
Age 65 or older,10.2,Age 45-64,22.4
Age 18-24,24.1,Age 25-44,25.3
Age 18-24,24.1,Age 45-64,21.3
Age 18-24,24.1,Age 65 or older,11.2
Age 25-44,25.3,Age 18-24,24.1
Age 25-44,25.3,Age 45-64,21.3
Age 25-44,25.3,Age 65 or older,11.2
Age 45-64,21.3,Age 18-24,24.1
Age 45-64,21.3,Age 25-44,25.3
Age 45-64,21.3,Age 65 or older,11.2
Age 65 or older,11.2,Age 18-24,24.1
Age 65 or older,11.2,Age 25-44,25.3
Age 65 or older,11.2,Age 45-64,21.3
Age 18-24,17.5,Age 25-44,20.8
Age 18-24,17.5,Age 45-64,18.2
Age 18-24,17.5,Age 65 or older,8.6
Age 25-44,20.8,Age 18-24,17.5
Age 25-44,20.8,Age 45-64,18.2
Age 25-44,20.8,Age 65 or older,8.6
Age 45-64,18.2,Age 18-24,17.5
Age 45-64,18.2,Age 25-44,20.8
Age 45-64,18.2,Age 65 or older,8.6
Age 65 or older,8.6,Age 18-24,17.5
Age 65 or older,8.6,Age 25-44,20.8
Age 65 or older,8.6,Age 45-64,18.2
Age 18-24,20.4,Age 25-44,24.8
Age 18-24,20.4,Age 45-64,22.5
Age 18-24,20.4,Age 65 or older,8.5
Age 25-44,24.8,Age 18-24,20.4
Age 25-44,24.8,Age 45-64,22.5
Age 25-44,24.8,Age 65 or older,8.5
Age 45-64,22.5,Age 18-24,20.4
Age 45-64,22.5,Age 25-44,24.8
Age 45-64,22.5,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,20.4
Age 65 or older,8.5,Age 25-44,24.8
Age 65 or older,8.5,Age 45-64,22.5
Age 18-24,14.4,Age 25-44,22.5
Age 18-24,14.4,Age 45-64,16.6
Age 18-24,14.4,Age 65 or older,7.2
Age 25-44,22.5,Age 18-24,14.4
Age 25-44,22.5,Age 45-64,16.6
Age 25-44,22.5,Age 65 or older,7.2
Age 45-64,16.6,Age 18-24,14.4
Age 45-64,16.6,Age 25-44,22.5
Age 45-64,16.6,Age 65 or older,7.2
Age 65 or older,7.2,Age 18-24,14.4
Age 65 or older,7.2,Age 25-44,22.5
Age 65 or older,7.2,Age 45-64,16.6
Age 18-24,19.2,Age 25-44,28.4
Age 18-24,19.2,Age 45-64,23.7
Age 18-24,19.2,Age 65 or older,8.7
Age 25-44,28.4,Age 18-24,19.2
Age 25-44,28.4,Age 45-64,23.7
Age 25-44,28.4,Age 65 or older,8.7
Age 45-64,23.7,Age 18-24,19.2
Age 45-64,23.7,Age 25-44,28.4
Age 45-64,23.7,Age 65 or older,8.7
Age 65 or older,8.7,Age 18-24,19.2
Age 65 or older,8.7,Age 25-44,28.4
Age 65 or older,8.7,Age 45-64,23.7
Age 18-24,16.4,Age 25-44,24.1
Age 18-24,16.4,Age 45-64,20.2
Age 18-24,16.4,Age 65 or older,8.5
Age 25-44,24.1,Age 18-24,16.4
Age 25-44,24.1,Age 45-64,20.2
Age 25-44,24.1,Age 65 or older,8.5
Age 45-64,20.2,Age 18-24,16.4
Age 45-64,20.2,Age 25-44,24.1
Age 45-64,20.2,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,16.4
Age 65 or older,8.5,Age 25-44,24.1
Age 65 or older,8.5,Age 45-64,20.2
Age 18-24,24.3,Age 25-44,29.9
Age 18-24,24.3,Age 45-64,25.3
Age 18-24,24.3,Age 65 or older,12.7
Age 25-44,29.9,Age 18-24,24.3
Age 25-44,29.9,Age 45-64,25.3
